age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,cd_account,securities,TransactionFrequency,Recency,AverageTransactionAmount,month,day
58,management,married,tertiary,no,2143,1,0,unknown,261,1,-1,0,unknown,no,0,0,2,25,807.5,may,5
44,technician,single,secondary,no,29,1,0,unknown,151,1,-1,0,unknown,no,0,0,1,48,60,may,5
33,entrepreneur,married,secondary,no,2,1,1,unknown,76,1,-1,0,unknown,no,0,0,2,44,995,may,5
35,management,married,tertiary,no,231,1,0,unknown,139,1,-1,0,unknown,no,0,0,1,56,819,may,5
28,management,single,tertiary,no,447,1,1,unknown,217,1,-1,0,unknown,no,0,0,1,54,641,may,5
42,entrepreneur,divorced,tertiary,yes,2,1,0,unknown,380,1,-1,0,unknown,no,0,0,1,53,780,may,5
58,retired,married,primary,no,121,1,0,unknown,50,1,-1,0,unknown,no,1,0,1,37,180,may,5
43,technician,single,secondary,no,593,1,0,unknown,55,1,-1,0,unknown,no,1,0,2,36,573,may,5
41,admin.,divorced,secondary,no,270,1,0,unknown,222,1,-1,0,unknown,no,0,0,1,41,570,may,5
29,admin.,single,secondary,no,390,1,0,unknown,137,1,-1,0,unknown,no,0,0,1,38,3254,may,5
53,technician,married,secondary,no,6,1,0,unknown,517,1,-1,0,unknown,no,0,0,1,50,600,may,5
57,services,married,secondary,no,162,1,0,unknown,174,1,-1,0,unknown,no,0,0,2,53,427.65,may,5
51,retired,married,primary,no,229,1,0,unknown,353,1,-1,0,unknown,no,1,0,1,49,600,may,5
57,blue-collar,married,primary,no,52,1,0,unknown,38,1,-1,0,unknown,no,0,0,1,75,39,may,5
60,retired,married,primary,no,60,1,0,unknown,219,1,-1,0,unknown,no,0,0,1,61,1000,may,5
33,services,married,secondary,no,0,1,0,unknown,54,1,-1,0,unknown,no,0,0,1,50,1594.27,may,5
28,blue-collar,married,secondary,no,723,1,1,unknown,262,1,-1,0,unknown,no,0,0,1,65,527,may,5
56,management,married,tertiary,no,779,1,0,unknown,164,1,-1,0,unknown,no,0,0,1,0,500,may,5
32,blue-collar,single,primary,no,23,1,1,unknown,160,1,-1,0,unknown,no,0,0,3,56,4113.173333,may,5
25,services,married,secondary,no,50,1,0,unknown,342,1,-1,0,unknown,no,0,0,1,71,1500,may,5
40,retired,married,primary,no,0,1,1,unknown,181,1,-1,0,unknown,no,0,0,2,49,125,may,5
44,admin.,married,secondary,no,-372,1,0,unknown,172,1,-1,0,unknown,no,0,0,3,62,598.3333333,may,5
39,management,single,tertiary,no,255,1,0,unknown,296,1,-1,0,unknown,no,0,0,1,80,745,may,5
52,entrepreneur,married,secondary,no,113,1,1,unknown,127,1,-1,0,unknown,no,0,0,1,74,165,may,5
46,management,single,secondary,no,-246,1,0,unknown,255,2,-1,0,unknown,no,0,0,1,46,30,may,5
36,technician,single,secondary,no,265,1,1,unknown,348,1,-1,0,unknown,no,0,0,1,37,131,may,5
57,technician,married,secondary,no,839,0,1,unknown,225,1,-1,0,unknown,no,0,0,1,60,500,may,5
49,management,married,tertiary,no,378,1,0,unknown,230,1,-1,0,unknown,no,0,0,1,60,399,may,5
60,admin.,married,secondary,no,39,1,1,unknown,208,1,-1,0,unknown,no,0,0,1,71,771,may,5
59,blue-collar,married,secondary,no,0,1,0,unknown,226,1,-1,0,unknown,no,0,0,3,59,15128.01333,may,5
51,management,married,tertiary,no,10635,1,0,unknown,336,1,-1,0,unknown,no,0,0,1,43,457,may,5
57,technician,divorced,secondary,no,63,1,0,unknown,242,1,-1,0,unknown,no,0,0,1,61,50,may,5
25,blue-collar,married,secondary,no,-7,1,0,unknown,365,1,-1,0,unknown,no,0,0,1,66,20,may,5
53,technician,married,secondary,no,-3,0,0,unknown,1666,1,-1,0,unknown,no,0,0,2,41,2815.5,may,5
36,admin.,divorced,secondary,no,506,1,0,unknown,577,1,-1,0,unknown,no,1,0,1,56,366,may,5
37,admin.,single,secondary,no,0,1,0,unknown,137,1,-1,0,unknown,no,0,0,1,58,3401,may,5
44,services,divorced,secondary,no,2586,1,0,unknown,160,1,-1,0,unknown,no,0,0,2,55,78759.87,may,5
50,management,married,secondary,no,49,1,0,unknown,180,2,-1,0,unknown,no,0,0,1,66,700,may,5
54,retired,married,secondary,no,529,1,0,unknown,1492,1,-1,0,unknown,no,1,0,2,41,1499.5,may,5
36,admin.,single,primary,no,-171,1,0,unknown,242,1,-1,0,unknown,no,0,0,1,72,20,may,5
58,self-employed,married,tertiary,no,-364,1,0,unknown,355,1,-1,0,unknown,no,0,0,1,68,1600,may,5
44,technician,married,secondary,no,0,1,0,unknown,225,2,-1,0,unknown,no,0,0,2,52,1024.5,may,5
55,technician,divorced,secondary,no,0,0,0,unknown,160,1,-1,0,unknown,no,0,0,1,70,205,may,5
29,management,single,tertiary,no,0,1,0,unknown,363,1,-1,0,unknown,no,0,0,1,41,31,may,5
54,blue-collar,married,secondary,no,1291,1,0,unknown,266,1,-1,0,unknown,no,1,0,1,70,1000,may,5
48,management,divorced,tertiary,no,-244,1,0,unknown,253,1,-1,0,unknown,no,0,0,1,78,100,may,5
32,management,married,tertiary,no,0,1,0,unknown,179,1,-1,0,unknown,no,0,0,2,25,1050,may,5
42,admin.,single,secondary,no,-76,1,0,unknown,787,1,-1,0,unknown,no,0,0,1,67,80,may,5
24,technician,single,secondary,no,-103,1,1,unknown,145,1,-1,0,unknown,no,0,0,1,54,91,may,5
38,entrepreneur,single,tertiary,no,243,0,1,unknown,174,1,-1,0,unknown,no,0,0,1,76,1500,may,5
38,management,single,tertiary,no,424,1,0,unknown,104,1,-1,0,unknown,no,0,0,1,39,150,may,5
46,services,married,primary,no,179,1,0,unknown,1778,1,-1,0,unknown,no,0,0,1,79,600,may,5
32,admin.,married,tertiary,no,0,1,0,unknown,138,1,-1,0,unknown,no,0,0,1,63,100,may,5
53,technician,divorced,secondary,no,989,1,0,unknown,812,1,-1,0,unknown,no,1,0,1,64,100000,may,5
57,blue-collar,married,primary,no,249,1,0,unknown,164,1,-1,0,unknown,no,1,0,1,62,1120,may,5
33,services,married,secondary,no,790,1,0,unknown,391,1,-1,0,unknown,no,0,0,1,48,581.6,may,5
51,management,married,tertiary,no,6530,1,0,unknown,91,1,-1,0,unknown,no,0,0,1,36,510,may,5
60,retired,married,tertiary,no,100,0,0,unknown,528,1,-1,0,unknown,no,0,0,2,54,148.13,may,5
59,management,divorced,tertiary,no,59,1,0,unknown,273,1,-1,0,unknown,no,0,0,2,60,1850,may,5
55,technician,married,secondary,no,1205,1,0,unknown,158,2,-1,0,unknown,no,1,0,1,47,110,may,5
35,blue-collar,single,secondary,no,12223,1,1,unknown,177,1,-1,0,unknown,no,0,0,1,70,40,may,5
57,blue-collar,married,secondary,no,5935,1,1,unknown,258,1,-1,0,unknown,no,0,0,1,41,505,may,5
31,services,married,secondary,no,25,1,1,unknown,172,1,-1,0,unknown,no,0,0,1,42,943,may,5
54,management,married,secondary,no,282,1,1,unknown,154,1,-1,0,unknown,no,0,0,1,65,255,may,5
55,blue-collar,married,primary,no,23,1,0,unknown,291,1,-1,0,unknown,no,0,0,2,40,448.5,may,5
43,technician,married,secondary,no,1937,1,0,unknown,181,1,-1,0,unknown,no,0,0,1,65,300,may,5
53,technician,married,secondary,no,384,1,0,unknown,176,1,-1,0,unknown,no,0,0,1,38,820,may,5
44,blue-collar,married,secondary,no,582,0,1,unknown,211,1,-1,0,unknown,no,0,0,2,44,585,may,5
